number,text,repo,lnum,filename,commit,stargazers,pull_request,reason,notes
C0121,"Comparison 'styl_seg.size == False' should be 'styl_seg.size is False' if checking for the singleton value False, or 'not styl_seg.size' if testing for falsiness",NVIDIA/FastPhotoStyle,57,photo_wct.py,af0c8fecce58aa71f76488546231214f6684be02,10650,https://github.com/NVIDIA/FastPhotoStyle/pull/109,,
C0121,"Comparison 'self.d.disks[str(disk['index'])].get('partitions', None) == None' should be 'self.d.disks[str(disk['index'])].get('partitions', None) is None'",corpnewt/gibMacOS,658,MakeInstall.py,9a683e716faef22c05183095ebc38c3611b16295,3780,https://github.com/corpnewt/gibMacOS/pull/244,,
C0121,Comparison 'mode != None' should be 'mode is not None',nuno-faria/tiler,87,tiler.py,08851d23d9c4e54979e663efab2a415b94b26081,4627,https://github.com/nuno-faria/tiler/pull/38,accepted,
C0121,"Comparison 'reroll == True' should be 'reroll is True' if checking for the singleton value True, or 'reroll' if testing for truthiness",trustedsec/unicorn,918,unicorn.py,22f94cc2786756d3f615abe1556a199605ecaf22,3013,https://github.com/trustedsec/unicorn/pull/159,,
C0121,Comparison 'target_seq != None' should be 'target_seq is not None',wb14123/seq2seq-couplet,112,seq2seq.py,460cb8bd4af23f17e6436feab46847a366ef4672,5104,https://github.com/wb14123/seq2seq-couplet/pull/71,,
C0121,"Comparison 'preserve_colors == True' should be 'preserve_colors is True' if checking for the singleton value True, or 'bool(preserve_colors)' if testing for truthiness",anishathalye/neural-style,209,stylize.py,96d7cfca8640474ecb33e3bac67ba138a768e09f,5410,https://github.com/anishathalye/neural-style/pull/178,accepted,
C0121,Comparison 'threshold == None' should be 'threshold is None',jadore801120/attention-is-all-you-need-pytorch,240,apply_bpe.py,132907dd272e2cc92e3c10e6c4e783a87ff8893d,5779,https://github.com/jadore801120/attention-is-all-you-need-pytorch/pull/189,,
C0121,Comparison 'extruded_face_list != None' should be 'extruded_face_list is not None',a1studmuffin/SpaceshipGenerator,45,spaceship_generator.py,0fe0149c9d033ac53829c3ace8dddef97209f53c,6917,https://github.com/a1studmuffin/SpaceshipGenerator/pull/42,,
C0121,"Comparison 'self.use_angle_cls == False' should be 'self.use_angle_cls is False' if checking for the singleton value False, or 'not self.use_angle_cls' if testing for falsiness",PaddlePaddle/PaddleOCR,321,paddleocr.py,c3833c2d89082dd76d49e5e96abc6008dc06fa8a,16763,https://github.com/PaddlePaddle/PaddleOCR/pull/4431,,
C0200,Consider using enumerate instead of iterating with range and len,Jack-Cherish/python-spider,45,daili.py,0d3b56b3ec179cac93155fc14cec815b3c963083,13834,https://github.com/Jack-Cherish/python-spider/pull/112,accepted,
